,year,day,time,play
255,2020,09.16(수),18:30,LG11vs5한화
256,2020,09.17(목),18:30,한화2vs5키움
257,2020,09.18(금),18:30,한화2vs0키움
258,2020,09.19(토),17:00,한화0vs8KIA
259,2020,09.20(일),14:00,한화11vs3KIA
260,2020,09.22(화),18:30,두산1vs5한화
261,2020,09.23(수),18:30,두산5vs6한화
262,2020,09.24(목),18:30,롯데4vs7한화
263,2020,09.25(금),18:30,롯데5vs6한화
264,2020,09.26(토),17:00,NC13vs1한화
265,2020,09.27(일),14:00,NC5vs4한화
266,2020,09.29(화),18:30,두산7vs3한화
267,2020,09.30(수),14:00,두산0vs10한화
